condition,language_code,split,examples,encoded_token_count,analysis_token_count
sts,eng_Latn,IndicCrosslingualSTS|test|sentence1,34,556,556
sts,eng_Latn,STS17|test|sentence2,44,458,458
sts,eng_Latn,STS22.v2|test|sentence1,2,1890,1890
sts,eng_Latn,STS22.v2|test|sentence2,1,46,46
sts,deu_Latn,STS22.v2|test|sentence1,5,2425,2425
sts,deu_Latn,STS22.v2|test|sentence2,2,519,519
sts,nld_Latn,STS17|test|sentence1,250,2951,2951
sts,spa_Latn,STS22.v2|test|sentence1,2,1540,1540
sts,spa_Latn,STS22.v2|test|sentence2,5,1388,1388
sts,fra_Latn,STS22.v2|test|sentence1,3,2020,2020
sts,fra_Latn,STS22.v2|test|sentence2,2,912,912
sts,ita_Latn,STS22.v2|test|sentence1,3,1147,1147
sts,ita_Latn,STS22.v2|test|sentence2,4,1785,1785
sts,ind_Latn,SemRel24STS|test|sentence1,60,1186,1186
sts,ind_Latn,SemRel24STS|test|sentence2,89,1765,1765
sts,pol_Latn,STS22.v2|test|sentence1,5,2252,2252
sts,pol_Latn,STS22.v2|test|sentence2,2,699,699
sts,tur_Latn,STS22.v2|test|sentence1,6,2943,2943
sts,arb_Arab,STS22.v2|test|sentence1,5,554,554
sts,arb_Arab,STS22.v2|test|sentence2,5,2369,2369
sts,hin_Deva,SemRel24STS|test|sentence1,72,1652,1652
sts,hin_Deva,SemRel24STS|test|sentence2,60,1299,1299
sts,guj_Gujr,IndicCrosslingualSTS|test|sentence2,149,2949,2949
sts,rus_Cyrl,STS22.v2|test|sentence1,3,1736,1736
sts,rus_Cyrl,STS22.v2|test|sentence2,5,1197,1197
sts,zho_Hans,STS22.v2|test|sentence1,4,2335,2335
sts,zho_Hans,STS22.v2|test|sentence2,4,613,606
sts,jpn_Jpan,JSICK|test|sentence1,119,1632,1632
sts,jpn_Jpan,JSICK|test|sentence2,92,1317,1317
sts,kor_Hang,STS17|test|sentence1,89,1503,1503
sts,kor_Hang,STS17|test|sentence2,78,1448,1448
