condition,language_code,split,examples,encoded_token_count,analysis_token_count
retrieval,eng_Latn,BelebeleRetrieval|test|corpus,135,14883,14883
retrieval,eng_Latn,BelebeleRetrieval|test|query,307,5111,5111
retrieval,deu_Latn,BelebeleRetrieval|test|corpus,129,16186,16186
retrieval,deu_Latn,BelebeleRetrieval|test|query,238,3811,3811
retrieval,nld_Latn,BelebeleRetrieval|test|corpus,132,16067,16067
retrieval,nld_Latn,BelebeleRetrieval|test|query,232,3933,3933
retrieval,swe_Latn,BelebeleRetrieval|test|corpus,134,15991,15991
retrieval,swe_Latn,BelebeleRetrieval|test|query,251,4006,4006
retrieval,spa_Latn,BelebeleRetrieval|test|corpus,119,15739,15739
retrieval,spa_Latn,BelebeleRetrieval|test|query,217,4259,4259
retrieval,fra_Latn,BelebeleRetrieval|test|corpus,109,15455,15455
retrieval,fra_Latn,BelebeleRetrieval|test|query,185,4543,4543
retrieval,ita_Latn,BelebeleRetrieval|test|corpus,118,15852,15852
retrieval,ita_Latn,BelebeleRetrieval|test|query,221,4148,4148
retrieval,por_Latn,BelebeleRetrieval|test|corpus,131,16125,16125
retrieval,por_Latn,BelebeleRetrieval|test|query,219,3873,3873
retrieval,ron_Latn,BelebeleRetrieval|test|corpus,115,15131,15131
retrieval,ron_Latn,BelebeleRetrieval|test|query,261,4867,4867
retrieval,ind_Latn,BelebeleRetrieval|test|corpus,158,15914,15914
retrieval,ind_Latn,BelebeleRetrieval|test|query,272,4086,4086
retrieval,zsm_Latn,BelebeleRetrieval|test|corpus,155,15999,15999
retrieval,zsm_Latn,BelebeleRetrieval|test|query,274,3999,3999
retrieval,tgl_Latn,BelebeleRetrieval|test|corpus,97,15752,15752
retrieval,tgl_Latn,BelebeleRetrieval|test|query,198,4243,4243
retrieval,pol_Latn,BelebeleRetrieval|test|corpus,120,15270,15270
retrieval,pol_Latn,BelebeleRetrieval|test|query,249,4730,4730
retrieval,hun_Latn,BelebeleRetrieval|test|corpus,120,16244,16244
retrieval,hun_Latn,BelebeleRetrieval|test|query,210,3751,3751
retrieval,tur_Latn,BelebeleRetrieval|test|corpus,140,15713,15713
retrieval,tur_Latn,BelebeleRetrieval|test|query,278,4284,4284
retrieval,vie_Latn,BelebeleRetrieval|test|corpus,112,15645,15645
retrieval,vie_Latn,BelebeleRetrieval|test|query,214,4351,4351
retrieval,arb_Arab,BelebeleRetrieval|test|corpus,122,15752,15752
retrieval,arb_Arab,BelebeleRetrieval|test|query,228,4247,4247
retrieval,hin_Deva,BelebeleRetrieval|test|corpus,113,15837,15837
retrieval,hin_Deva,BelebeleRetrieval|test|query,211,4160,4160
retrieval,guj_Gujr,BelebeleRetrieval|test|corpus,100,15516,15516
retrieval,guj_Gujr,BelebeleRetrieval|test|query,206,4480,4480
retrieval,rus_Cyrl,BelebeleRetrieval|test|corpus,122,15608,15608
retrieval,rus_Cyrl,BelebeleRetrieval|test|query,211,4389,4389
retrieval,tha_Thai,BelebeleRetrieval|test|corpus,136,16174,16174
retrieval,tha_Thai,BelebeleRetrieval|test|query,264,3826,3826
retrieval,zho_Hans,BelebeleRetrieval|test|corpus,152,16054,16053
retrieval,zho_Hans,BelebeleRetrieval|test|query,277,3946,3946
retrieval,jpn_Jpan,BelebeleRetrieval|test|corpus,129,15787,15786
retrieval,jpn_Jpan,BelebeleRetrieval|test|query,222,4211,4211
retrieval,kor_Hang,BelebeleRetrieval|test|corpus,125,15921,15919
retrieval,kor_Hang,BelebeleRetrieval|test|query,227,4082,4081
