condition,family,language_code,task,subset,split,role,examples,analysis_tokens
classification,classification,arb_Arab,MassiveIntentClassification,ar,test,text,1370,11781
classification,classification,arb_Arab,MassiveIntentClassification,ar,validation,text,977,8219
classification,classification,deu_Latn,MassiveIntentClassification,de,test,text,1083,10196
classification,classification,deu_Latn,MassiveIntentClassification,de,validation,text,1022,9804
classification,classification,eng_Latn,MassiveIntentClassification,en,test,text,1445,11684
classification,classification,eng_Latn,MassiveIntentClassification,en,validation,text,1022,8316
classification,classification,fra_Latn,MassiveIntentClassification,fr,test,text,849,9115
classification,classification,fra_Latn,MassiveIntentClassification,fr,validation,text,1039,10885
classification,classification,guj_Gujr,GujaratiNewsClassification,default,test,text,919,20000
classification,classification,hin_Deva,MassiveIntentClassification,hi,test,text,1045,10196
classification,classification,hin_Deva,MassiveIntentClassification,hi,validation,text,1013,9804
classification,classification,hun_Latn,MassiveIntentClassification,hu,test,text,1000,9967
classification,classification,hun_Latn,MassiveIntentClassification,hu,validation,text,985,10033
classification,classification,ind_Latn,MassiveIntentClassification,id,test,text,1509,11932
classification,classification,ind_Latn,MassiveIntentClassification,id,validation,text,1035,8068
classification,classification,ita_Latn,MassiveIntentClassification,it,test,text,1265,11122
classification,classification,ita_Latn,MassiveIntentClassification,it,validation,text,988,8878
classification,classification,jpn_Jpan,MassiveIntentClassification,ja,test,text,1195,11005
classification,classification,jpn_Jpan,MassiveIntentClassification,ja,validation,text,988,8995
classification,classification,kor_Hang,MassiveIntentClassification,ko,test,text,1305,11287
classification,classification,kor_Hang,MassiveIntentClassification,ko,validation,text,1000,8713
classification,classification,nld_Latn,MassiveIntentClassification,nl,test,text,1148,10670
classification,classification,nld_Latn,MassiveIntentClassification,nl,validation,text,1031,9330
classification,classification,pol_Latn,MassiveIntentClassification,pl,test,text,1202,10726
classification,classification,pol_Latn,MassiveIntentClassification,pl,validation,text,1010,9274
classification,classification,por_Latn,MassiveIntentClassification,pt,test,text,1240,11128
classification,classification,por_Latn,MassiveIntentClassification,pt,validation,text,993,8872
classification,classification,ron_Latn,MassiveIntentClassification,ro,test,text,1205,10706
classification,classification,ron_Latn,MassiveIntentClassification,ro,validation,text,1029,9294
classification,classification,rus_Cyrl,MassiveIntentClassification,ru,test,text,1257,11181
classification,classification,rus_Cyrl,MassiveIntentClassification,ru,validation,text,977,8819
classification,classification,spa_Latn,MassiveIntentClassification,es,test,text,1252,10949
classification,classification,spa_Latn,MassiveIntentClassification,es,validation,text,1006,9051
classification,classification,swe_Latn,MassiveIntentClassification,sv,test,text,1397,11586
classification,classification,swe_Latn,MassiveIntentClassification,sv,validation,text,1010,8414
classification,classification,tgl_Latn,MassiveIntentClassification,tl,test,text,831,8885
classification,classification,tgl_Latn,MassiveIntentClassification,tl,validation,text,1022,11115
classification,classification,tha_Thai,MassiveIntentClassification,th,test,text,1169,10930
classification,classification,tha_Thai,MassiveIntentClassification,th,validation,text,979,9070
classification,classification,tur_Latn,MassiveIntentClassification,tr,test,text,1459,11994
classification,classification,tur_Latn,MassiveIntentClassification,tr,validation,text,993,8006
classification,classification,vie_Latn,MassiveIntentClassification,vi,test,text,950,9574
classification,classification,vie_Latn,MassiveIntentClassification,vi,validation,text,1012,10426
classification,classification,zho_Hans,MassiveIntentClassification,zh-CN,test,text,1510,11835
classification,classification,zho_Hans,MassiveIntentClassification,zh-CN,validation,text,1058,8165
classification,classification,zsm_Latn,MassiveIntentClassification,ms,test,text,1476,11758
classification,classification,zsm_Latn,MassiveIntentClassification,ms,validation,text,1029,8242
clustering,clustering,arb_Arab,SIB200ClusteringS2S,arb_Arab,test,text,113,4013
clustering,clustering,arb_Arab,SIB200ClusteringS2S,arb_Arab,train,text,397,14223
clustering,clustering,arb_Arab,SIB200ClusteringS2S,arb_Arab,validation,text,51,1755
clustering,clustering,deu_Latn,SIB200ClusteringS2S,deu_Latn,test,text,119,4176
clustering,clustering,deu_Latn,SIB200ClusteringS2S,deu_Latn,train,text,398,14086
clustering,clustering,deu_Latn,SIB200ClusteringS2S,deu_Latn,validation,text,52,1732
clustering,clustering,eng_Latn,SIB200ClusteringS2S,eng_Latn,test,text,147,4242
clustering,clustering,eng_Latn,SIB200ClusteringS2S,eng_Latn,train,text,465,13945
clustering,clustering,eng_Latn,SIB200ClusteringS2S,eng_Latn,validation,text,65,1806
clustering,clustering,fra_Latn,SIB200ClusteringS2S,fra_Latn,test,text,96,3592
clustering,clustering,fra_Latn,SIB200ClusteringS2S,fra_Latn,train,text,364,14282
clustering,clustering,fra_Latn,SIB200ClusteringS2S,fra_Latn,validation,text,61,2125
clustering,clustering,guj_Gujr,SIB200ClusteringS2S,guj_Gujr,test,text,64,2784
