condition,language_code,split,examples,encoded_token_count,analysis_token_count
overall,eng_Latn,BelebeleRetrieval|test|corpus,42,5183,5183
overall,eng_Latn,BelebeleRetrieval|test|query,116,1981,1981
overall,eng_Latn,IndicCrosslingualSTS|test|sentence1,13,188,188
overall,eng_Latn,MassiveIntentClassification|test|text,514,4170,4170
overall,eng_Latn,MassiveIntentClassification|validation|text,360,2901,2901
overall,eng_Latn,SIB200ClusteringS2S|test|text,59,1720,1720
overall,eng_Latn,SIB200ClusteringS2S|train|text,163,4839,4839
overall,eng_Latn,SIB200ClusteringS2S|validation|text,23,637,637
overall,eng_Latn,STS17|test|sentence2,18,169,169
overall,eng_Latn,STS22.v2|test|sentence1,2,1890,1890
overall,eng_Latn,WebLINXCandidatesReranking|test_iid|queries:text,5,3287,3287
overall,eng_Latn,WikipediaRerankingMultilingual|test|corpus:text,8,907,907
overall,eng_Latn,WikipediaRerankingMultilingual|test|queries:text,129,2128,2128
overall,deu_Latn,BelebeleRetrieval|test|corpus,46,5699,5699
overall,deu_Latn,BelebeleRetrieval|test|query,91,1523,1523
overall,deu_Latn,MassiveIntentClassification|test|text,414,3831,3831
overall,deu_Latn,MassiveIntentClassification|validation|text,386,3741,3741
overall,deu_Latn,SIB200ClusteringS2S|test|text,45,1572,1572
overall,deu_Latn,SIB200ClusteringS2S|train|text,137,5098,5098
overall,deu_Latn,SIB200ClusteringS2S|validation|text,26,764,764
overall,deu_Latn,STS22.v2|test|sentence1,2,623,623
overall,deu_Latn,STS22.v2|test|sentence2,1,461,461
overall,deu_Latn,WikipediaRerankingMultilingual|test|corpus:text,20,1883,1883
overall,deu_Latn,WikipediaRerankingMultilingual|test|queries:text,281,4805,4805
overall,nld_Latn,BelebeleRetrieval|test|corpus,47,6057,6057
overall,nld_Latn,BelebeleRetrieval|test|query,80,1399,1399
overall,nld_Latn,MassiveIntentClassification|test|text,411,3799,3799
overall,nld_Latn,MassiveIntentClassification|validation|text,384,3569,3569
overall,nld_Latn,SIB200ClusteringS2S|test|text,45,1608,1608
overall,nld_Latn,SIB200ClusteringS2S|train|text,147,4890,4890
overall,nld_Latn,SIB200ClusteringS2S|validation|text,16,508,508
overall,nld_Latn,STS17|test|sentence1,89,1043,1043
overall,nld_Latn,WikipediaRerankingMultilingual|test|corpus:text,37,2902,2902
overall,nld_Latn,WikipediaRerankingMultilingual|test|queries:text,259,4225,4225
overall,swe_Latn,BelebeleRetrieval|test|corpus,50,6341,6341
overall,swe_Latn,BelebeleRetrieval|test|query,89,1391,1391
overall,swe_Latn,MassiveIntentClassification|test|text,520,4336,4336
overall,swe_Latn,MassiveIntentClassification|validation|text,400,3315,3315
overall,swe_Latn,SIB200ClusteringS2S|test|text,44,1400,1400
overall,swe_Latn,SIB200ClusteringS2S|train|text,155,4884,4884
overall,swe_Latn,SIB200ClusteringS2S|validation|text,22,618,618
overall,swe_Latn,WikipediaRerankingMultilingual|test|corpus:text,38,3506,3506
overall,swe_Latn,WikipediaRerankingMultilingual|test|queries:text,287,4209,4209
overall,spa_Latn,BelebeleRetrieval|test|corpus,60,7556,7556
overall,spa_Latn,BelebeleRetrieval|test|query,100,1935,1935
overall,spa_Latn,MassiveIntentClassification|test|text,595,5227,5227
overall,spa_Latn,MassiveIntentClassification|validation|text,471,4175,4175
overall,spa_Latn,SIB200ClusteringS2S|test|text,51,1828,1828
overall,spa_Latn,SIB200ClusteringS2S|train|text,188,6728,6728
overall,spa_Latn,SIB200ClusteringS2S|validation|text,16,522,522
overall,spa_Latn,STS22.v2|test|sentence1,1,641,641
overall,spa_Latn,STS22.v2|test|sentence2,5,1388,1388
overall,fra_Latn,AlloprofReranking|test|queries:text,150,7118,7116
overall,fra_Latn,BelebeleRetrieval|test|corpus,39,5266,5266
overall,fra_Latn,BelebeleRetrieval|test|query,53,1353,1353
overall,fra_Latn,MassiveIntentClassification|test|text,289,3141,3141
overall,fra_Latn,MassiveIntentClassification|validation|text,377,3840,3840
overall,fra_Latn,SIB200ClusteringS2S|test|text,34,1328,1328
overall,fra_Latn,SIB200ClusteringS2S|train|text,141,5683,5683
overall,fra_Latn,SIB200ClusteringS2S|validation|text,24,874,874
overall,fra_Latn,STS22.v2|test|sentence1,1,487,487
overall,fra_Latn,STS22.v2|test|sentence2,2,912,912
overall,ita_Latn,BelebeleRetrieval|test|corpus,40,5449,5449
overall,ita_Latn,BelebeleRetrieval|test|query,90,1760,1760
overall,ita_Latn,MassiveIntentClassification|test|text,427,3823,3823
overall,ita_Latn,MassiveIntentClassification|validation|text,357,3194,3194
overall,ita_Latn,SIB200ClusteringS2S|test|text,41,1529,1529
overall,ita_Latn,SIB200ClusteringS2S|train|text,145,5276,5276
overall,ita_Latn,SIB200ClusteringS2S|validation|text,16,521,521
overall,ita_Latn,STS22.v2|test|sentence1,1,467,467
overall,ita_Latn,STS22.v2|test|sentence2,3,1133,1133
overall,ita_Latn,WikipediaRerankingMultilingual|test|corpus:text,20,2211,2211
overall,ita_Latn,WikipediaRerankingMultilingual|test|queries:text,271,4637,4637
overall,por_Latn,BelebeleRetrieval|test|corpus,58,7298,7298
overall,por_Latn,BelebeleRetrieval|test|query,84,1524,1524
overall,por_Latn,MassiveIntentClassification|test|text,434,3973,3973
overall,por_Latn,MassiveIntentClassification|validation|text,329,2856,2856
overall,por_Latn,SIB200ClusteringS2S|test|text,42,1523,1523
overall,por_Latn,SIB200ClusteringS2S|train|text,154,5115,5115
overall,por_Latn,SIB200ClusteringS2S|validation|text,23,777,777
overall,por_Latn,WikipediaRerankingMultilingual|test|corpus:text,21,2523,2523
overall,por_Latn,WikipediaRerankingMultilingual|test|queries:text,262,4411,4411
overall,ron_Latn,BelebeleRetrieval|test|corpus,43,5753,5753
overall,ron_Latn,BelebeleRetrieval|test|query,90,1647,1647
overall,ron_Latn,MassiveIntentClassification|test|text,431,3730,3730
overall,ron_Latn,MassiveIntentClassification|validation|text,370,3327,3327
overall,ron_Latn,SIB200ClusteringS2S|test|text,46,1715,1715
overall,ron_Latn,SIB200ClusteringS2S|train|text,144,5498,5498
overall,ron_Latn,SIB200ClusteringS2S|validation|text,14,470,470
overall,ron_Latn,WikipediaRerankingMultilingual|test|corpus:text,32,2819,2819
overall,ron_Latn,WikipediaRerankingMultilingual|test|queries:text,310,5041,5041
overall,ind_Latn,BelebeleRetrieval|test|corpus,73,7214,7214
overall,ind_Latn,BelebeleRetrieval|test|query,127,1925,1925
overall,ind_Latn,MassiveIntentClassification|test|text,701,5426,5426
overall,ind_Latn,MassiveIntentClassification|validation|text,496,3907,3907
overall,ind_Latn,SIB200ClusteringS2S|test|text,75,2163,2163
overall,ind_Latn,SIB200ClusteringS2S|train|text,255,7184,7184
overall,ind_Latn,SIB200ClusteringS2S|validation|text,31,803,803
overall,ind_Latn,SemRel24STS|test|sentence1,27,530,530
overall,ind_Latn,SemRel24STS|test|sentence2,43,848,848
overall,zsm_Latn,BelebeleRetrieval|test|corpus,84,8895,8895
overall,zsm_Latn,BelebeleRetrieval|test|query,129,1821,1821
overall,zsm_Latn,MassiveIntentClassification|test|text,725,5852,5852
overall,zsm_Latn,MassiveIntentClassification|validation|text,497,3972,3972
overall,zsm_Latn,SIB200ClusteringS2S|test|text,64,1770,1770
overall,zsm_Latn,SIB200ClusteringS2S|train|text,244,6993,6993
overall,zsm_Latn,SIB200ClusteringS2S|validation|text,27,697,697
overall,tgl_Latn,BelebeleRetrieval|test|corpus,51,8406,8406
overall,tgl_Latn,BelebeleRetrieval|test|query,104,2283,2283
overall,tgl_Latn,MassiveIntentClassification|test|text,382,4061,4061
overall,tgl_Latn,MassiveIntentClassification|validation|text,502,5530,5530
overall,tgl_Latn,SIB200ClusteringS2S|test|text,33,1584,1584
overall,tgl_Latn,SIB200ClusteringS2S|train|text,165,7233,7233
overall,tgl_Latn,SIB200ClusteringS2S|validation|text,22,903,903
overall,pol_Latn,BelebeleRetrieval|test|corpus,55,7335,7335
